hpx6,n_stars,avg_parallax
28908,554319,0.19512777652671245
28909,213749,0.15968529197217043
4358,2900,1.0691975180712616
4361,3240,1.010968238294322
4307,3813,0.9476881834469004
4296,4883,0.9194899417559932
4302,4324,0.9404089702611722
4321,4784,0.9028620377878338
4343,3780,1.00644594812428
4331,4895,0.916175758309392
4409,3110,0.9550355958046799
4359,2965,1.0432813462429364
4290,4609,0.8777750109677656
4356,3006,1.0604282114801504
4342,3722,0.943236823840912
4426,2716,0.9433031239352319
4396,3359,1.039113497816292
4346,4597,0.9172893401918557
4292,4365,0.9251986717208843
4441,2659,1.033379851998577
4366,3139,1.0540328171020312
4317,3658,0.9393961425665162
4398,3160,0.9974737250881702
4349,3812,0.9277836010866624
4350,4293,0.9705305390323888
4308,3698,0.9956887854466843
4373,2600,0.9628725672786556
4397,3215,1.039244153592409
4368,2830,1.079491665182308
4335,4511,0.9356118033290307
4410,3188,0.9891532614217151
4355,3198,1.048031504246848
4432,2715,1.0383802419364085
4372,2681,1.0371942011248176
4446,2496,0.9946666557119108
4401,2870,1.0430878501599452
4400,3088,1.0134998204388062
4390,3307,1.072750004779325
4309,3553,0.9728860656768192
4382,2859,0.9975639165597738
4310,3621,0.9539267214366489
4393,3337,1.0663730017809738
4381,2827,1.0183802575835734
4415,2962,1.0188898027909792
4374,2739,1.0091581496263897
4314,3941,0.9618530262374231
4365,2922,1.064998629979944
4364,3091,1.0023633209936131
4386,3350,1.0498065898078588
4433,2610,0.9811006797894499
4330,5314,0.894639525921787
4443,2724,1.0057405156449957
4375,2708,1.0637163628760293
4347,4597,0.9767341905951242
4337,3819,0.9287738443202982
4387,3177,1.0451859451074255
4438,2626,1.01577506743545
4394,3559,0.9983192032609498
4352,3260,1.0300640985926444
4363,3326,1.0031326261719824
4427,2637,1.037337076334892
4351,3890,0.930464924868605
4449,1935,1.0562236883358334
4327,4524,0.9451926220511466
4299,4733,0.9626038658634459
4320,5088,0.9308246529369301
4362,3541,1.0564347973405168
4371,2796,1.00136952094445
4300,4160,0.8975404536693169
4377,2866,1.0143724700173953
4413,3027,0.9593116832872709
4407,2870,1.0622335645518088
4402,3071,1.0455311389864395
4412,3050,1.0738009260783572
4340,3926,0.9330281838151331
4434,2529,0.987282255620199
4380,2911,1.019139060979084
4447,2566,1.099772777283972
4316,3777,0.9547987750272432
4291,4290,0.950196620496853
4405,2888,0.9912659196539392
4336,4005,0.9471510281496578
4448,2719,1.0249850691841533
4416,2716,1.0237852152274711
4424,2781,1.0263653496199097
4440,2579,0.957391543652629
4323,5036,0.8806588751549155
4429,2797,1.0255321802645159
4392,3288,0.9274076659213336
4430,2634,1.0267108292923712
4418,2718,0.9660194182099374
4328,5274,0.8930642846899468
4334,4636,0.9004275678739336
4431,2767,1.0758043037045422
4303,4099,0.9167230420765257
4420,2720,1.0718105740293842
4329,4816,0.9282332738357777
4333,4614,0.9662999646643202
4439,2440,0.9634483272134745
4391,3196,1.0383667363671714
4444,2574,1.146201700411055
4408,3006,1.0027277607152603
4406,3007,1.0028652140202412
4354,3300,0.9667339662150215
4319,3661,0.9953163267759131
4436,2538,0.9911041573890794
4293,3894,0.9534549582256211
4357,2953,1.0016088145095254
4417,2756,0.944470202671046
4318,3796,0.9379724854506171
4411,2968,0.978451096325665
4445,2453,0.9855503136996469
4315,3828,1.0362954214156002
4389,2968,1.0372585863271948
4421,2533,1.0059368506461384
4383,2898,1.0509760487275945
4376,2956,1.0199030830849973
4385,3241,0.9881553843524763
4425,2641,1.0090339486769493
4348,3992,0.9221291143553715
4399,3157,0.9966399983408323
4297,4473,0.9343670333016854
4322,5058,0.8828242060708472
4332,4698,0.9481306966079206
4326,4667,0.9379651229137005
4369,2803,1.0411169635501525
4360,3161,1.0858954472652935
4428,2789,1.0143773735516053
4338,4322,0.9371740146803648
4325,4210,0.8701918201858724
4344,4611,0.9622062427000198
4298,6343,0.9823844766168166
4419,2670,0.9587146771897006
4345,4086,0.9128100874740211
4379,2841,1.023571672943226
4311,3631,1.0425511082433798
4370,2805,1.045740481678932
4306,3874,0.9578455527439
4324,4536,0.9087487911415391
4295,4119,0.9350375999551511
4339,3953,0.9585162864562116
4442,2697,1.0196708697886951
4304,4032,0.8962865352193562
4353,2948,1.0315480665778511
4294,4114,0.9603512524197645
4301,4103,0.9125182767820655
4312,3983,0.955867776921369
4414,3081,1.0159620398974218
4305,3937,0.9325053670299978
4437,2463,1.0508899075594533
4313,3903,0.9465254147748675
4435,2651,1.020720074169425
4395,3356,1.0291323966831138
4384,3356,1.0494000375726664
4289,2979,0.9787417788383912
4367,3038,1.085403024214686
4403,3023,1.038125666422917
4422,2748,1.0196198603701674
4404,2796,1.0559687912135691
4423,2700,1.0275893374761595
4378,2970,1.0487802540184028
4341,3864,0.9730568448283456
4388,3131,1.0638090227851689
43961,7935,0.6854215058995402
43976,9163,0.6766669581783096
43987,8252,0.693052088930897
44002,6035,0.6947650896044393
43949,8609,0.6799564214882489
43957,8507,0.6759105311053892
